match_key,tournament_source,round_number,aff_team,neg_team,aff_source_file,neg_source_file,aff_win_label,aff_original_split,neg_original_split,aff_parse_confidence,neg_parse_confidence,aff_parse_high,aff_parse_medium,neg_parse_high,neg_parse_medium,aff_zero_feature_flag,neg_zero_feature_flag,tournament_northwestern,aff_num_positions,neg_num_positions,diff_num_positions,aff_num_adv_inh_solv,neg_num_adv_inh_solv,diff_num_adv_inh_solv,aff_num_offs,neg_num_offs,diff_num_offs,aff_num_cards_total,neg_num_cards_total,diff_num_cards_total,aff_num_cards_with_highlight,neg_num_cards_with_highlight,diff_num_cards_with_highlight,aff_total_highlighted_words,neg_total_highlighted_words,diff_total_highlighted_words,diff_cards_per_position
Northwestern|1|georgetown ln|kansas au,Northwestern,1,Georgetown LN,Kansas AU,Georgetown-LaNa-Aff-01---Northwestern-Round-1.docx,Kansas-AiUl-Neg-1.-Northwestern-Round-1.docx,0,train,train,medium,high,0,1,1,0,0,0,1,7,10,-3,7,0,7,0,10,-10,0,1,-1,0,1,-1,0,274,-274,-0.1
Northwestern|1|harvard ab|michigan state fm,Northwestern,1,Harvard AB,Michigan State FM,Harvard-AoBo-Aff-1.-Northwestern-Round-1.docx,MichiganState-FoMa-Neg-01---Northwestern-Round-1.docx,1,train,train,high,high,1,0,1,0,0,0,1,3,12,-9,3,0,3,0,12,-12,28,8,20,28,8,20,1982,859,1123,8.666666666666668
Northwestern|1|harvard ds|missouri state hn,Northwestern,1,Missouri State HN,Harvard DS,MissouriState-HaNe-Aff-01-Northwestern-Round-1.docx,Harvard-DeSr-Neg-1.-Northwestern-Round-1.docx,0,validation,train,high,high,1,0,1,0,0,0,1,2,1,1,2,0,2,0,1,-1,7,10,-3,7,10,-3,1198,1233,-35,-6.5
Northwestern|1|indiana tf|wake forest de,Northwestern,1,Indiana TF,Wake Forest DE,Indiana-FiTr-Aff-1.-Northwestern-Round-1.docx,WakeForest-DiEl-Neg-1---Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-1.docx,0,train,test,high,high,1,0,1,0,0,0,1,4,4,0,4,0,4,0,4,-4,19,13,6,19,13,6,1748,1584,164,1.5
Northwestern|1|iowa bs|western kentucky ip,Northwestern,1,Iowa BS,Western Kentucky IP,Iowa-BiSa-Aff-1--Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-1.docx,WesternKentucky-InPu-Neg-1-----NUSO-----Northwestern-Round-1.docx,1,train,test,medium,high,0,1,1,0,1,0,1,0,3,-3,0,0,0,0,3,-3,0,3,-3,0,3,-3,0,787,-787,-1.0
Northwestern|1|iowa ks|northwestern lr,Northwestern,1,Northwestern LR,Iowa KS,Northwestern-RuLi-Aff-01---Northwestern-Round-1.docx,Iowa-KlSe-Neg-1.-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-1.docx,1,train,train,medium,medium,0,1,0,1,0,1,1,7,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Northwestern|1|kansas mb|southern california br,Northwestern,1,Southern California BR,Kansas MB,SouthernCalifornia-BhRa-Aff-1-Northwestern-Round-1.docx,Kansas-BaMc-Neg-1---Northwestern-Round-1.docx,1,train,train,medium,medium,0,1,0,1,0,0,1,2,6,-4,2,0,2,0,6,-6,0,0,0,0,0,0,0,0,0,0.0
Northwestern|1|kansas ph|northwestern ll,Northwestern,1,Northwestern LL,Kansas PH,Northwestern-LuLe-Aff-01---Northwestern-Round-1.docx,Kansas-HaPe-Neg-Northwestern-Round-1.docx,0,train,test,medium,medium,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Northwestern|1|kansas state sa|michigan cc,Northwestern,1,Kansas State SA,Michigan CC,KansasState-ArSa-Aff-1-----Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-1.docx,Michigan-ChCh-Neg-1---Northwestern-Round-1.docx,0,validation,validation,medium,high,0,1,1,0,1,0,1,0,6,-6,0,0,0,0,6,-6,0,11,-11,0,11,-11,0,2156,-2156,-1.8333333333333333
Northwestern|1|macalester hw|uc berkeley rm,Northwestern,1,Macalester HW,UC Berkeley RM,MacalesterCollege-HaWi-Aff-1--Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-1.docx,UCBerkeley-MeRe-Neg-1---Northwestern-Round-1.docx,1,train,train,high,high,1,0,1,0,0,0,1,2,11,-9,2,0,2,0,11,-11,22,29,-7,22,29,-7,3625,4658,-1033,8.363636363636363
Northwestern|1|michigan am|michigan state gs,Northwestern,1,Michigan State GS,Michigan AM,MichiganState-GeSh-Aff-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-1.docx,Michigan-MoAl-Neg-1---Northwestern-Round-1.docx,1,validation,train,medium,high,0,1,1,0,1,0,1,0,1,-1,0,0,0,0,1,-1,0,2,-2,0,2,-2,0,1632,-1632,-2.0
Northwestern|1|michigan ss|wake forest sk,Northwestern,1,Michigan SS,Wake Forest SK,Michigan-ShSh-Aff-Northwestern-Round-1.docx,WakeForest-KaSh-Neg-1---Northwestern-Round-1.docx,1,train,train,high,high,1,0,1,0,0,0,1,6,7,-1,6,0,6,0,7,-7,56,6,50,56,6,50,4351,621,3730,8.476190476190476
Northwestern|1|north texas vh|southern california bm,Northwestern,1,North Texas VH,Southern California BM,NorthTexas-HaVa-Aff-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-1.docx,SouthernCalifornia-BrMa-Neg-Northwestern-Round-1.docx,0,train,train,high,medium,1,0,0,1,0,1,1,4,0,4,4,0,4,0,0,0,2,0,2,2,0,2,692,0,692,0.5
Northwestern|1|southern california tm|stanford ll,Northwestern,1,Southern California TM,Stanford LL,SouthernCalifornia-TrMi-Aff-Northwestern-Round-1.docx,Stanford-LaLa-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-1.docx,0,train,train,medium,high,0,1,1,0,1,0,1,0,3,-3,0,0,0,0,3,-3,0,2,-2,0,2,-2,0,1768,-1768,-0.6666666666666666
Northwestern|1|southern california zb|wake forest sl,Northwestern,1,Southern California ZB,Wake Forest SL,SouthernCalifornia-BhZh-Aff-Northwestern-Round-1.docx,WakeForest-LiSf-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-1.docx,0,train,validation,medium,high,0,1,1,0,0,0,1,4,15,-11,4,0,4,0,15,-15,0,10,-10,0,10,-10,0,1320,-1320,-0.6666666666666666
Northwestern|1|utd pr|wyoming ch,Northwestern,1,Wyoming CH,UTD PR,Wyoming-CaHa-Aff-NUSO-Round-1.docx,UTD-PeRa-Neg-01---Northwestern-Round-1.docx,0,train,validation,medium,high,0,1,1,0,0,0,1,3,2,1,3,0,3,0,2,-2,0,5,-5,0,5,-5,0,839,-839,-2.5
Northwestern|2|arizona state ss|dartmouth hp,Northwestern,2,Dartmouth HP,Arizona State SS,DartmouthCollege-PaHa-Aff-01----northwestern-Round-2.docx,ArizonaState-SaSm-Neg-1---Owen-L.-Coon-Round-2.docx,0,test,train,high,high,1,0,1,0,0,0,1,2,2,0,2,0,2,0,2,-2,3,6,-3,3,6,-3,807,1679,-872,-1.5
Northwestern|2|baylor bk|western kentucky kn,Northwestern,2,Baylor BK,Western Kentucky KN,Baylor-KeBe-Aff-Northwestern-Round-2.docx,WesternKentucky-NeKu-Neg-01---Northwestern-Round-2.docx,1,train,train,medium,high,0,1,1,0,1,0,1,0,5,-5,0,0,0,0,5,-5,0,3,-3,0,3,-3,0,1021,-1021,-0.6
Northwestern|2|baylor dl|emory ry,Northwestern,2,Emory RY,Baylor DL,Emory-RuYo-Aff-1.-Northwestern-Round-2.docx,Baylor-DaLa-Neg-Northwestern-Round-2.docx,1,test,train,high,high,1,0,1,0,0,0,1,3,2,1,3,0,3,0,2,-2,3,6,-3,3,6,-3,735,3943,-3208,-2.0
Northwestern|2|baylor ll|emory ps,Northwestern,2,Baylor LL,Emory PS,Baylor-LoLi-Aff-Northwestern-Round-2.docx,Emory-PeSt-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-2.docx,1,train,validation,medium,medium,0,1,0,1,1,0,1,0,2,-2,0,0,0,0,2,-2,0,0,0,0,0,0,0,0,0,0.0
Northwestern|2|baylor pm|kansas state dr,Northwestern,2,Kansas State DR,Baylor PM,KansasState-DaRa-Aff-1---Northwestern-Round-2.docx,Baylor-MePh-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-2.docx,1,train,test,high,medium,1,0,0,1,0,1,1,3,0,3,3,0,3,0,0,0,7,0,7,7,0,7,1063,0,1063,2.3333333333333335
Northwestern|2|binghamton tp|dartmouth cg,Northwestern,2,Binghamton TP,Dartmouth CG,Binghamton-TrPa-Aff-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-2.docx,DartmouthCollege-CaGo-Neg-1---NUSO-Round-2.docx,0,validation,train,medium,medium,0,1,0,1,1,0,1,0,2,-2,0,0,0,0,2,-2,0,0,0,0,0,0,0,0,0,0.0
Northwestern|2|cornell dv|southern california tm,Northwestern,2,Cornell DV,Southern California TM,Cornell-DyVo-Aff-Northwestern-Round-2.docx,SouthernCalifornia-TrMi-Neg-Northwestern-Round-2.docx,0,validation,train,medium,medium,0,1,0,1,0,1,1,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Northwestern|2|dartmouth gm|kansas bw,Northwestern,2,Kansas BW,Dartmouth GM,Kansas-BrWa-Aff-1---Northwestern-Round-2.docx,DartmouthCollege-GuMo-Neg-1---NUSO-Round-2.docx,1,train,train,high,high,1,0,1,0,0,0,1,8,9,-1,8,0,8,0,9,-9,1,1,0,1,1,0,1139,66,1073,0.013888888888888895
Northwestern|2|emory cf|indiana tf,Northwestern,2,Emory CF,Indiana TF,Emory-ChFe-Aff-Northwestern-Round-2.docx,Indiana-FiTr-Neg-1.-Northwestern-Round-2.docx,1,train,train,medium,high,0,1,1,0,0,0,1,7,1,6,7,0,7,0,1,-1,0,5,-5,0,5,-5,0,1427,-1427,-5.0
Northwestern|2|emory cg|northwestern ll,Northwestern,2,Emory CG,Northwestern LL,Emory-GrCh-Aff-1---Owen-L.-Coon-Memorial-Debates-Round-2.docx,Northwestern-LuLe-Neg-01---Northwestern-Round-2.docx,0,train,test,medium,medium,0,1,0,1,0,0,1,14,6,8,14,0,14,0,6,-6,0,0,0,0,0,0,0,0,0,0.0
Northwestern|2|emory gm|michigan ss,Northwestern,2,Emory GM,Michigan SS,Emory-GeMa-Aff-Northwestern-Round-2.docx,Michigan-ShSh-Neg-Northwestern-Round-2.docx,1,validation,train,high,high,1,0,1,0,0,0,1,7,4,3,7,0,7,0,4,-4,2,10,-8,2,10,-8,519,955,-436,-2.2142857142857144
Northwestern|2|emory gs|wake forest hn,Northwestern,2,Wake Forest HN,Emory GS,WakeForest-HaNa-Aff-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-2.docx,Emory-GaSo-Neg-1.-Northwestern-Round-2.docx,0,test,train,medium,medium,0,1,0,1,1,0,1,0,7,-7,0,0,0,0,7,-7,0,0,0,0,0,0,0,0,0,0.0
Northwestern|2|emory jr|western kentucky ip,Northwestern,2,Western Kentucky IP,Emory JR,WesternKentucky-InPu-Aff-1-----NUSO-----Northwestern-Round-2.docx,Emory-JiRa-Neg-NUSO-Round-2.docx,0,train,train,high,medium,1,0,0,1,0,0,1,4,9,-5,4,0,4,0,9,-9,18,0,18,18,0,18,2429,0,2429,4.5
Northwestern|2|emory ks|iowa pa,Northwestern,2,Emory KS,Iowa PA,Emory-KiSh-Aff-01---Northwestern-Round-2.docx,Iowa-PaAn-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-2.docx,0,train,train,medium,medium,0,1,0,1,0,1,1,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Northwestern|2|emory ly|michigan state js,Northwestern,2,Michigan State JS,Emory LY,MichiganState-JaSc-Aff-1---Northwestern-Round-2.docx,Emory-LoYa-Neg-01---Northwestern-Round-2.docx,0,train,test,medium,medium,0,1,0,1,0,0,1,4,1,3,4,0,4,0,1,-1,0,0,0,0,0,0,0,0,0,0.0
Northwestern|2|emory op|uc berkeley rm,Northwestern,2,UC Berkeley RM,Emory OP,UCBerkeley-MeRe-Aff-1---Northwestern-Round-2.docx,Emory-OkPa-Neg-1---Northwestern-Round-2.docx,1,train,train,high,high,1,0,1,0,0,0,1,2,10,-8,2,0,2,0,10,-10,1,2,-1,1,2,-1,1643,1104,539,0.3
Northwestern|2|georgetown ac|wake forest ba,Northwestern,2,Wake Forest BA,Georgetown AC,WakeForest-AdBr-Aff-01---The-coon-(Northwestern)-Round-2.docx,Georgetown-AgCo-Neg-01---Northwestern-Round-2.docx,0,train,train,medium,high,0,1,1,0,1,0,1,0,3,-3,0,0,0,0,3,-3,0,1,-1,0,1,-1,0,1251,-1251,-0.3333333333333333
Northwestern|2|georgetown gt|wake forest sk,Northwestern,2,Wake Forest SK,Georgetown GT,WakeForest-KaSh-Aff-1---Northwestern-Round-2.docx,Georgetown-GrTa-Neg-01---OLC-Memorial-Debates-@-Northwestern-Round-2.docx,0,test,train,medium,medium,0,1,0,1,0,0,1,1,1,0,1,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0.0
Northwestern|2|georgetown kl|kansas state sa,Northwestern,2,Georgetown KL,Kansas State SA,Georgetown-KlLi-Aff-01---Northwestern-Round-2.docx,KansasState-ArSa-Neg-1-----Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-2.docx,0,train,train,medium,high,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,-1,0,2,-2,0,2,-2,0,2143,-2143,-2.0
Northwestern|2|georgia ck|uc berkeley ub,Northwestern,2,UC Berkeley UB,Georgia CK,UCBerkeley-BoUr-Aff-1---Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-2.docx,Georgia-KaCh-Neg-1---Northwestern-Round-2.docx,0,train,train,medium,medium,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Northwestern|2|georgia cp|western kentucky ss,Northwestern,2,Western Kentucky SS,Georgia CP,WesternKentucky-StSc-Aff-01---NUSO-Round-2.docx,Georgia-CaPa-Neg-01]-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-2.docx,0,validation,train,high,high,1,0,1,0,0,0,1,4,9,-5,4,0,4,0,9,-9,18,7,11,18,7,11,1867,1305,562,3.7222222222222223
Northwestern|2|gonzaga wr|stanford ll,Northwestern,2,Stanford LL,Gonzaga WR,Stanford-LaLa-Aff-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-2.docx,Gonzaga-WeRo-Neg-Northwestern-Round-2.docx,1,validation,validation,medium,medium,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Northwestern|2|harvard ds|northwestern lr,Northwestern,2,Harvard DS,Northwestern LR,Harvard-DeSr-Aff-1.-Northwestern-Round-2.docx,Northwestern-RuLi-Neg-01---Northwestern-Round-2.docx,0,validation,train,high,high,1,0,1,0,0,0,1,4,11,-7,4,0,4,0,11,-11,39,1,38,39,1,38,3034,732,2302,9.659090909090908
Northwestern|2|iowa bs|kentucky gs,Northwestern,2,Kentucky GS,Iowa BS,Kentucky-GaSl-Aff-Northwestern-Round-2.docx,Iowa-BiSa-Neg-1--Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-2.docx,0,train,train,high,medium,1,0,0,1,0,1,1,3,0,3,3,0,3,0,0,0,3,0,3,3,0,3,531,0,531,1.0
Northwestern|2|iowa ks|missouri state hn,Northwestern,2,Iowa KS,Missouri State HN,Iowa-KlSe-Aff-1.-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-2.docx,MissouriState-HaNe-Neg-01-Northwestern-Round-2.docx,0,train,validation,medium,high,0,1,1,0,1,0,1,0,7,-7,0,0,0,0,7,-7,0,2,-2,0,2,-2,0,688,-688,-0.2857142857142857
Northwestern|2|kansas au|michigan es,Northwestern,2,Kansas AU,Michigan ES,Kansas-AiUl-Aff-1.-Northwestern-Round-2.docx,Michigan-EsSh-Neg-Northwestern-Round-2.docx,1,train,train,high,high,1,0,1,0,0,0,1,8,4,4,8,0,8,0,4,-4,4,13,-9,4,13,-9,2753,986,1767,-2.75
Northwestern|2|kansas ls|western kentucky cf,Northwestern,2,Kansas LS,Western Kentucky CF,Kansas-LaSc-Aff-Northwestern-Round-2.docx,WesternKentucky-CaFo-Neg-1---NUSO-Round-2.docx,1,train,train,medium,high,0,1,1,0,1,0,1,0,6,-6,0,0,0,0,6,-6,0,1,-1,0,1,-1,0,60,-60,-0.16666666666666666
Northwestern|2|kansas ph|uc davis ms,Northwestern,2,Kansas PH,UC Davis MS,Kansas-HaPe-Aff-Northwestern-Round-2.docx,UCDavis-MiSh-Neg-Northwestern-Round-2.docx,1,validation,test,medium,high,0,1,1,0,1,0,1,0,2,-2,0,0,0,0,2,-2,0,7,-7,0,7,-7,0,1184,-1184,-3.5
Northwestern|2|kansas state ds|macalester hw,Northwestern,2,Kansas State DS,Macalester HW,KansasState-DrSp-Aff-1---Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-2.docx,MacalesterCollege-HaWi-Neg-1--Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-2.docx,0,test,test,high,high,1,0,1,0,0,0,1,1,4,-3,1,0,1,0,4,-4,6,6,0,6,6,0,1154,1236,-82,4.5
Northwestern|2|macalester dc|wyoming ch,Northwestern,2,Macalester DC,Wyoming CH,MacalesterCollege-CoDu-Aff-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-2.docx,Wyoming-CaHa-Neg-NUSO-Round-2.docx,1,train,train,high,medium,1,0,0,1,0,0,1,2,1,1,2,0,2,0,1,-1,11,0,11,11,0,11,2283,0,2283,5.5
Northwestern|2|michigan ao|missouri state ns,Northwestern,2,Michigan AO,Missouri State NS,Michigan-OuAg-Aff-1-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-2.docx,MissouriState-NeSi-Neg-01-Northwestern-Round-2.docx,1,train,train,high,medium,1,0,0,1,0,0,1,1,4,-3,1,0,1,0,4,-4,41,0,41,41,0,41,3602,0,3602,41.0
Northwestern|2|michigan cs|michigan state gl,Northwestern,2,Michigan State GL,Michigan CS,MichiganState-GuLe-Aff-Northwestern-Round-2.docx,Michigan-ChSa-Neg-1---Northwestern-Round-2.docx,1,validation,train,high,high,1,0,1,0,0,0,1,2,2,0,2,0,2,0,2,-2,2,11,-9,2,11,-9,101,1285,-1184,-4.5
Northwestern|2|michigan gj|wyoming ww,Northwestern,2,Michigan GJ,Wyoming WW,Michigan-JoGa-Aff-0---northwestern-Round-2.docx,Wyoming-WiWi-Neg-1.-Northwestern-Round-2.docx,1,test,train,high,medium,1,0,0,1,0,0,1,6,1,5,6,0,6,0,1,-1,28,0,28,28,0,28,3268,0,3268,4.666666666666667
Northwestern|2|michigan state fm|utd hk,Northwestern,2,Michigan State FM,UTD HK,MichiganState-FoMa-Aff-01---Northwestern-Round-2.docx,UTD-HaKa-Neg-01---Northwestern-Round-2.docx,0,validation,train,high,high,1,0,1,0,0,0,1,5,2,3,5,0,5,0,2,-2,1,5,-4,1,5,-4,66,939,-873,-2.3
Northwestern|2|north texas vh|trinity pk,Northwestern,2,Trinity PK,North Texas VH,Trinity-KiPa-Aff-1---NUSO-Round-2.docx,NorthTexas-HaVa-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-2.docx,1,train,train,medium,high,0,1,1,0,1,0,1,0,2,-2,0,0,0,0,2,-2,0,1,-1,0,1,-1,0,805,-805,-0.5
Northwestern|3|arizona state ss|kansas sc,Northwestern,3,Arizona State SS,Kansas SC,ArizonaState-SaSm-Aff-1---Owen-L.-Coon-Round-3.docx,Kansas-ChSu-Neg-1---Northwestern-Round-3.docx,0,test,train,medium,medium,0,1,0,1,1,0,1,0,4,-4,0,0,0,0,4,-4,0,0,0,0,0,0,0,0,0,0.0
Northwestern|3|baylor bk|emory jr,Northwestern,3,Emory JR,Baylor BK,Emory-JiRa-Aff-NUSO-Round-3.docx,Baylor-KeBe-Neg-Northwestern-Round-3.docx,1,train,train,medium,medium,0,1,0,1,0,1,1,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Northwestern|3|cornell dv|iowa ks,Northwestern,3,Cornell DV,Iowa KS,Cornell-DyVo-Aff-Northwestern-Round-3.docx,Iowa-KlSe-Neg-1.-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-3.docx,0,validation,validation,medium,medium,0,1,0,1,0,1,1,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0
